left,right,reasons
9L0X_C,9L0X_J,"[""same_pdb_deposition""]"
9LJ2_A,9LJ2_C,"[""same_pdb_deposition""]"
9M98_C,9M98_D,"[""same_pdb_deposition""]"
9M98_C,9M98_M,"[""same_pdb_deposition""]"
9M9D_D,9M9D_M,"[""same_pdb_deposition""]"
9MJ5_C,9MJ5_S,"[""same_pdb_deposition""]"
9MKB_0,9MKB_A0,"[""same_pdb_deposition""]"
9MKB_0,9MKB_A6,"[""same_pdb_deposition""]"
9MKB_0,9MKB_AB,"[""same_pdb_deposition""]"
9MKB_0,9MKB_AC,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_WI,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_YC,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_iC,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_k3,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_m1,"[""same_pdb_deposition""]"
9MOG_UL,9MOG_o0,"[""same_pdb_deposition""]"
9MRX_A,9MRX_D,"[""same_pdb_deposition""]"
9MU4_a,9MU4_c,"[""same_pdb_deposition""]"
9MU4_a,9MU4_d,"[""same_pdb_deposition""]"
9MU5_a,9MU5_b,"[""same_pdb_deposition""]"
9MU5_a,9MU5_g,"[""same_pdb_deposition""]"
9MU8_A,9MU8_B,"[""same_pdb_deposition""]"
9MU8_A,9MU8_E,"[""same_pdb_deposition""]"
9N07_A,9N07_J,"[""same_pdb_deposition""]"
9N3Z_B,9N3Z_D,"[""same_pdb_deposition""]"
9N3Z_B,9N3Z_H,"[""same_pdb_deposition""]"
9N6H_A,9N6H_B,"[""same_pdb_deposition""]"
9N6H_A,9N6H_D,"[""same_pdb_deposition""]"
9N6H_A,9N6H_K,"[""same_pdb_deposition""]"
9N9Q_A,9N9Q_C,"[""same_pdb_deposition""]"
9N9Q_A,9N9Q_F,"[""same_pdb_deposition""]"
9N9Q_A,9N9Q_G,"[""same_pdb_deposition""]"
9NNH_A,9NNH_C,"[""same_pdb_deposition""]"
9O0G_B,9O0G_C,"[""same_pdb_deposition""]"
9OAC_Ac,9OAC_Bc,"[""same_pdb_deposition""]"
9OAC_Ac,9OAC_Ca,"[""same_pdb_deposition""]"
9OYJ_A,9OYJ_E,"[""same_pdb_deposition""]"
9P1D_A,9P1D_E,"[""same_pdb_deposition""]"
9PFQ_D,9PFQ_Q,"[""same_pdb_deposition""]"
9QCC_Q,9QCC_V,"[""same_pdb_deposition""]"
9RJS_A,9RJS_C,"[""same_pdb_deposition""]"
9RLT_4,9RLT_5,"[""same_pdb_deposition""]"
9S4Q_Mt,9S4Q_Nn,"[""same_pdb_deposition""]"
9S5U_A,9S5U_D,"[""same_pdb_deposition""]"
9S5U_A,9S5U_F,"[""same_pdb_deposition""]"
9SW0_B,9SW0_D,"[""same_pdb_deposition""]"
9TGN_A,9TGN_B,"[""same_pdb_deposition""]"
9TGW_A,9TGW_B,"[""same_pdb_deposition""]"
9U4R_BA,9U4R_CA,"[""same_pdb_deposition""]"
9UB7_A,9UB7_B,"[""same_pdb_deposition""]"
9UB7_A,9UB7_E,"[""same_pdb_deposition""]"
9UX7_A,9UX7_C,"[""same_pdb_deposition""]"
9UXH_D,9UXH_F,"[""same_pdb_deposition""]"
9UZO_E,9UZO_J,"[""same_pdb_deposition""]"
9V2V_G,9V2V_O,"[""same_pdb_deposition""]"
9V2V_G,9V2V_P,"[""same_pdb_deposition""]"
9V2V_G,9V2V_R,"[""same_pdb_deposition""]"
9W6T_C,9W6T_D,"[""same_pdb_deposition""]"
9W6T_C,9W6T_R,"[""same_pdb_deposition""]"
9WNO_A,9WNO_B,"[""same_pdb_deposition""]"
9WS0_A,9WS0_B,"[""same_pdb_deposition""]"
9WSM_C,9WSM_D,"[""same_pdb_deposition""]"
9WSM_C,9WSM_F,"[""same_pdb_deposition""]"
9X25_B,9X25_C,"[""same_pdb_deposition""]"
9X25_B,9X25_E,"[""same_pdb_deposition""]"
9ZBT_A,9ZBT_H,"[""same_pdb_deposition""]"
9ZBU_H,9ZBU_T,"[""same_pdb_deposition""]"
9ZEN_C,9ZEN_D,"[""same_pdb_deposition""]"
9ZZR_C,9ZZR_D,"[""same_pdb_deposition""]"
9ZZR_C,9ZZR_F,"[""same_pdb_deposition""]"
9ZZR_C,9ZZR_K,"[""same_pdb_deposition""]"
9ZZR_C,9ZZR_R,"[""same_pdb_deposition""]"
