global_phenotype,identifier,probability
G019,2NNR_A,0.7463864449123339
G046,2NOB_A,1.0
G046,2NOE_A,1.0
G046,2NOF_A,1.0
G046,2NOH_A,1.0
G046,2NOI_A,1.0
G046,2NOL_A,1.0
G046,2NOZ_A,1.0
G_NOISE,2NP2_A,0.0
G_NOISE,2NP6_A,0.0
G038,2NQ9_A,0.10058031767918621
G038,2NQJ_A,0.10058031767918621
G028,2NRA_C,1.0
G_NOISE,2NRG_A,0.0
G_NOISE,2NSW_A,0.0
G_NOISE,2NT3_A,0.0
G_NOISE,2NTC_A,0.0
G_NOISE,2NXV_A,0.0
G013,2O4A_A,1.0
G_NOISE,2O5C_A,0.0
G_NOISE,2O5I_C,0.0
G_NOISE,2O61_A,0.0
G015,2O61_B,1.0
G_NOISE,2O6M_A,0.0
G_NOISE,2O7I_A,0.0
G_NOISE,2O8E_B,0.0
G_NOISE,2O8K_A,0.0
G_NOISE,2O93_L,0.0
G_NOISE,2OAA_B,0.0
G_NOISE,2OEH_A,0.0
G_NOISE,2OFX_A,0.0
G_NOISE,2OG0_B,0.0
G004,2OK0_H,0.9231565175174393
G004,2OK0_L,1.0
G_NOISE,2OPF_A,0.0
G_NOISE,2OQA_A,0.0
G_NOISE,2OST_A,0.0
G_NOISE,2OX1_A,0.0
G050,2OXV_A,0.48460557944891697
G_NOISE,2P0J_A,0.0
G_NOISE,2P3N_A,0.0
G_NOISE,2P5L_D,0.0
G_NOISE,2P6R_A,0.0
G013,2P7C_B,1.0
G_NOISE,2PA8_L,0.0
G_NOISE,2PE5_B,0.0
G_NOISE,2PGN_A,0.0
G_NOISE,2PI0_B,0.0
G_NOISE,2PI4_A,0.0
G_NOISE,2PJR_B,0.0
G041,2PJR_F,1.0
G_NOISE,2POR_A,0.0
G_NOISE,2PP0_A,0.0
G_NOISE,2PUA_A,0.0
G_NOISE,2PUE_A,0.0
G_NOISE,2PVI_A,0.0
G032,2PYJ_B,1.0
G008,2PYO_G,0.46848987482542465
G050,2Q10_A,0.49401457246935887
G040,2Q2T_A,0.7289889204531157
G_NOISE,2Q5X_A,0.0
G_NOISE,2Q66_A,0.0
G027,2QBY_A,1.0
G_NOISE,2QBY_B,0.0
G_NOISE,2QHB_A,0.0
G_NOISE,2QIQ_A,0.0
G_NOISE,2QJG_A,0.0
G_NOISE,2QKK_A,0.0
G_NOISE,2QL2_B,0.0
G_NOISE,2QL2_C,0.0
G020,2QMC_C,0.24268099626117073
G_NOISE,2QNC_A,0.0
G_NOISE,2QNF_A,0.0
G035,2QRL_A,0.7636118688499504
G_NOISE,2QSG_A,0.0
G_NOISE,2QSH_A,0.0
G_NOISE,2QSK_A,0.0
G_NOISE,2QV6_A,0.0
G_NOISE,2R0Q_C,0.0
G050,2R1B_A,0.48460557944891697
G_NOISE,2R1J_L,0.0
G_NOISE,2R8K_A,0.0
G015,2RAM_A,1.0
G_NOISE,2RGR_A,0.0
G_NOISE,2SAS_A,0.0
G029,2SSP_E,1.0
G_NOISE,2STT_A,0.0
G020,2UVU_A,1.0
G020,2UVV_A,1.0
G_NOISE,2UWJ_G,0.0
G046,2UYC_A,0.2748945294827415
G046,2UYH_A,0.2748945294827415
G046,2UZ4_A,0.2748945294827415
G_NOISE,2UZK_A,0.0
G_NOISE,2V1U_A,0.0
G015,2V2T_A,1.0
G015,2V2T_B,1.0
G_NOISE,2V4C_A,0.0
G_NOISE,2V4J_C,0.0
G_NOISE,2V6E_A,0.0
G039,2VBJ_A,1.0
G039,2VBJ_B,1.0
G039,2VBL_A,1.0
G039,2VBL_B,1.0
G039,2VBO_A,1.0
G039,2VBO_B,1.0
G_NOISE,2VIC_A,0.0
G_NOISE,2VLA_A,0.0
G_NOISE,2VLB_C,0.0
G_NOISE,2VLP_B,0.0
G_NOISE,2VOR_A,0.0
G_NOISE,2VQE_Q,0.0
G_NOISE,2VS8_F,0.0
G_NOISE,2VTB_A,0.0
G_NOISE,2VTB_B,0.0
G_NOISE,2VVF_A,0.0
G016,2VWJ_A,0.8888178664437403
G_NOISE,2VYE_A,0.0
G_NOISE,2VZ4_A,0.0
G_NOISE,2W0C_T,0.0
G_NOISE,2W1V_A,0.0
G_NOISE,2W36_A,0.0
G_NOISE,2W7N_B,0.0
G_NOISE,2W87_A,0.0
G038,2W8T_A,0.09107825373117893
G020,2W9B_A,1.0
G003,2WBS_A,1.0
G003,2WBU_A,1.0
G_NOISE,2WCC_3,0.0
G046,2WGV_B,0.2639477652951463
G_NOISE,2WIW_B,0.0
G_NOISE,2WL5_C,0.0
G_NOISE,2WPV_C,0.0
G001,2WT7_A,1.0
G_NOISE,2WT7_B,0.0
G_NOISE,2WTY_B,0.0
G_NOISE,2X0J_A,0.0
G_NOISE,2X2S_B,0.0
G_NOISE,2X48_A,0.0
G_NOISE,2X4I_A,0.0
G026,2XCR_D,1.0
G_NOISE,2XE0_A,0.0
G_NOISE,2XE0_B,0.0
G_NOISE,2XGP_B,0.0
G016,2XHB_A,0.7173491373800844
G_NOISE,2XHY_A,0.0
G_NOISE,2XMA_E,0.0
G_NOISE,2XMX_A,0.0
G_NOISE,2XO6_A,0.0
G038,2XO7_A,1.0
G_NOISE,2XOL_B,0.0
G_NOISE,2XQC_D,0.0
G_NOISE,2XRO_B,0.0
G038,2XY5_A,1.0
G038,2XY6_A,1.0
G038,2XY7_A,0.9272980086034031
G_NOISE,2Y1E_B,0.0
G038,2Y1J_A,0.42268419049349937
G042,2Y35_A,0.09266338182223792
G_NOISE,2Y7H_A,0.0
G_NOISE,2Y7H_B,0.0
G_NOISE,2Y88_A,0.0
G_NOISE,2Y8L_E,0.0
G_NOISE,2Y9Z_B,0.0
G_NOISE,2YAJ_B,0.0
G_NOISE,2YDS_A,0.0
G_NOISE,2YEV_B,0.0
G_NOISE,2YFK_A,0.0
G_NOISE,2YJG_A,0.0
G_NOISE,2YOJ_A,0.0
G_NOISE,2YPB_B,0.0
G_NOISE,2YSW_A,0.0
G033,2YZC_A,0.929676476153809
G019,2Z33_A,0.7386389516771735
G_NOISE,2Z58_B,0.0
G046,2Z6A_A,0.2748945294827415
G046,2Z6Q_A,0.2748945294827415
G046,2Z6U_A,0.2748945294827415
G029,2Z70_A,1.0
G046,2ZCJ_A,0.2748945294827415
G_NOISE,2ZKD_A,0.0
G_NOISE,2ZZD_H,0.0
G_NOISE,30FH_6,0.0
G_NOISE,30GB_I,0.0
G_NOISE,30GB_K,0.0
G_NOISE,31OX_2,0.0
G_NOISE,36AX_R,0.0
G_NOISE,36HT_A,0.0
G_NOISE,36HT_I,0.0
G_NOISE,36HT_L,0.0
G007,36NB_A,1.0
G051,36OF_A,1.0
G_NOISE,36PP_D,0.0
G_NOISE,36XS_A,0.0
G007,3A01_F,0.9751860931038269
G_NOISE,3A06_B,0.0
G_NOISE,3A1K_A,0.0
G_NOISE,3A46_A,0.0
G_NOISE,3A4K_D,0.0
G_NOISE,3A5U_A,0.0
G_NOISE,3A8U_X,0.0
G_NOISE,3ACP_A,0.0
G_NOISE,3AFE_A,0.0
G_NOISE,3AHY_B,0.0
G_NOISE,3AJ4_A,0.0
G_NOISE,3APA_A,0.0
G037,3AUK_A,0.983350592384147
G_NOISE,3AUO_A,0.0
G_NOISE,3AXD_A,0.0
G_NOISE,3AYQ_A,0.0
G_NOISE,3B18_A,0.0
G041,3B39_A,0.9491482733169372
G001,3B5N_C,0.9420798859905373
G019,3B7A_A,0.7317511905996472
G028,3BBB_B,0.9744244619336828
G_NOISE,3BDN_A,0.0
G038,3BDZ_A,0.09491383842418018
G_NOISE,3BEP_A,0.0
G030,3BI3_A,0.4626329686226156
G030,3BIE_A,0.4626329686226156
G030,3BKZ_A,0.4626329686226156
G_NOISE,3BMB_A,0.0
G_NOISE,3BMX_A,0.0
G020,3BQ1_A,0.363639629045967
G_NOISE,3BRG_C,0.0
G017,3BS1_A,0.8031991311058484
G_NOISE,3BSU_G,0.0
G028,3BTX_A,0.9871150362108244
G028,3BTY_A,0.9871150362108244
G028,3BTZ_A,0.9871150362108244
G028,3BU0_A,0.9871150362108244
G_NOISE,3BWU_D,0.0
G_NOISE,3C1M_C,0.0
G_NOISE,3C25_A,0.0
G021,3C29_A,1.0
G050,3C5F_A,1.0
G050,3C5G_B,1.0
G_NOISE,3CAW_A,0.0
G005,3CBB_B,0.9501925026180874
G042,3CFR_A,0.3338358292074135
G041,3CHL_A,1.0
G_NOISE,3CKY_A,0.0
G_NOISE,3CLZ_B,0.0
G_NOISE,3CMU_A,0.0
G_NOISE,3CMW_A,0.0
G_NOISE,3CMY_A,0.0
G_NOISE,3CO6_C,0.0
G_NOISE,3COQ_A,0.0
G042,3CQ8_A,0.5607538900594796
G_NOISE,3CRO_L,0.0
G021,3CRX_A,1.0
G_NOISE,3CVV_A,0.0
G_NOISE,3CVW_A,0.0
G_NOISE,3CVX_A,0.0
G_NOISE,3CW7_A,0.0
G_NOISE,3CX5_C,0.0
G_NOISE,3D0N_A,0.0
G_NOISE,3D1R_A,0.0
G_NOISE,3D54_B,0.0
G_NOISE,3D6N_B,0.0
G012,3D6Z_A,1.0
G012,3D70_A,1.0
G012,3D71_A,1.0
G_NOISE,3DFX_A,0.0
G_NOISE,3DHI_E,0.0
G015,3DO7_A,1.0
G_NOISE,3DO7_B,0.0
G041,3DPG_A,1.0
G_NOISE,3DR3_A,0.0
G_NOISE,3DSC_A,0.0
G_NOISE,3DSD_A,0.0
G_NOISE,3E0D_A,0.0
G_NOISE,3E3J_B,0.0
G_NOISE,3E3K_B,0.0
G_NOISE,3E3U_A,0.0
G_NOISE,3E54_A,0.0
G_NOISE,3E6C_C,0.0
G_NOISE,3E8M_A,0.0
G_NOISE,3EA6_A,0.0
G020,3ECP_A,0.24268099626117073
G_NOISE,3EH8_A,0.0
G_NOISE,3EI2_B,0.0
G_NOISE,3EMH_A,0.0
G037,3ES7_A,1.0
G038,3EWD_A,0.09491383842418018
G014,3EXJ_A,1.0
G019,3EY1_A,1.0
G_NOISE,3EYI_B,0.0
G038,3EYZ_A,1.0
G038,3EZ5_A,0.8857212880284195
G_NOISE,3EZM_A,0.0
G_NOISE,3F1L_A,0.0
G022,3F2B_A,0.6337858533057182
G_NOISE,3F8J_B,0.0
G_NOISE,3FBD_A,0.0
G_NOISE,3FD2_A,0.0
G_NOISE,3FDE_A,0.0
G_NOISE,3FHZ_D,0.0
G_NOISE,3FIR_A,0.0
G_NOISE,3FMT_A,0.0
G_NOISE,3FZ7_F,0.0
G_NOISE,3G00_A,0.0
G_NOISE,3G0Q_A,0.0
G_NOISE,3G2C_A,0.0
G_NOISE,3G7G_H,0.0
G005,3G9I_B,1.0
G_NOISE,3GFI_A,0.0
G_NOISE,3GLF_G,0.0
G_NOISE,3GLG_G,0.0
G035,3GO8_A,1.0
G_NOISE,3GOX_A,0.0
G035,3GP1_A,1.0
G_NOISE,3GP8_A,0.0
G035,3GPU_A,1.0
G035,3GPX_A,1.0
G035,3GQ4_A,1.0
G035,3GQ5_A,1.0
G019,3GX4_X,0.7552211422604338
G_NOISE,3GXB_A,0.0
G_NOISE,3GXQ_B,0.0
G037,3GY1_B,1.0
G041,3GZ6_A,0.9958501758003471
G018,3H1K_B,1.0
G038,3H3J_B,0.09245284817110556
G_NOISE,3H40_A,0.0
G_NOISE,3H4D_A,0.0
G_NOISE,3H6Q_A,0.0
G028,3H8O_A,0.9871150362108244
G_NOISE,3H9C_A,0.0
G_NOISE,3HC7_A,0.0
G007,3HDD_B,1.0
G_NOISE,3HJF_A,0.0
G_NOISE,3HK2_B,0.0
G_NOISE,3HOT_A,0.0
G_NOISE,3HQ2_B,0.0
G_NOISE,3HQF_A,0.0
G_NOISE,3HQG_A,0.0
G038,3HT3_A,0.9318432458412699
G_NOISE,3HW2_A,0.0
G050,3HW8_A,1.0
G050,3HX0_A,0.8811216456871354
G_NOISE,3HXQ_A,0.0
G_NOISE,3I0W_A,0.0
G_NOISE,3I0X_A,0.0
G030,3I3M_A,0.4626329686226156
G019,3I8D_A,1.0
G_NOISE,3IAG_C,0.0
G_NOISE,3IAY_A,0.0
G_NOISE,3IGC_A,0.0
G014,3IGK_A,1.0
G046,3IH7_A,1.0
G_NOISE,3IKT_B,0.0
G_NOISE,3IQE_A,0.0
G_NOISE,3ISL_A,0.0
G_NOISE,3IYD_A,0.0
G_NOISE,3IYD_D,0.0
G_NOISE,3J3I_A,0.0
G_NOISE,3J9X_1,0.0
G_NOISE,3JAY_C,0.0
G_NOISE,3JCA_A,0.0
G_NOISE,3JCA_C,0.0
G035,3JR5_A,1.0
G025,3JSM_A,1.0
G_NOISE,3JSP_A,0.0
G_NOISE,3JTG_A,0.0
G_NOISE,3JX7_A,0.0
G_NOISE,3JXB_C,0.0
G_NOISE,3JXZ_A,0.0
G_NOISE,3JY1_A,0.0
G026,3K0S_A,0.802538327255504
G_NOISE,3K4X_A,0.0
G_NOISE,3K57_A,0.0
G_NOISE,3K7T_A,0.0
G044,3K8G_A,1.0
G042,3KD1_E,0.45812561808546
G_NOISE,3KDE_C,0.0
G_NOISE,3KET_A,0.0
G_NOISE,3KFF_A,0.0
G030,3KHC_B,0.4626329686226156
G_NOISE,3KJP_A,0.0
G_NOISE,3KK2_B,0.0
G025,3KLE_A,1.0
G_NOISE,3KLE_B,0.0
G025,3KLF_A,1.0
G025,3KLH_A,1.0
G013,3KMP_A,1.0
G028,3KNT_A,0.9744244619336828
G039,3KO2_A,0.6395262915254366
G_NOISE,3KQH_A,0.0
G_NOISE,3KQN_A,0.0
G046,3KTU_A,1.0
G009,3KWQ_A,0.8202508618685416
G006,3KXT_A,1.0
G_NOISE,3L1P_A,0.0
G046,3L2P_A,0.26438796421741234
G042,3LDS_A,0.9305266842198905
G_NOISE,3LFZ_A,0.0
G_NOISE,3LGS_C,0.0
G_NOISE,3LJ5_A,0.0
G_NOISE,3LNQ_A,0.0
G006,3LWH_A,1.0
G_NOISE,3M12_B,0.0
G_NOISE,3M7K_A,0.0
G003,3M9E_E,0.9477941335083073
G050,3MDA_A,1.0
G_NOISE,3ME7_A,0.0
G039,3MIP_A,0.6395262915254366
G039,3MIS_A,0.6395262915254366
G_NOISE,3MKZ_A,0.0
G_NOISE,3MLN_B,0.0
G_NOISE,3MR1_A,0.0
G041,3MSU_B,1.0
G_NOISE,3MU6_A,0.0
G044,3MVA_O,1.0
G044,3MVB_O,1.0
G_NOISE,3MVD_L,0.0
G_NOISE,3MX4_A,0.0
G_NOISE,3MXI_A,0.0
G_NOISE,3MXM_A,0.0
G_NOISE,3MZH_A,0.0
G039,3N1I_A,0.6395262915254366
G_NOISE,3N20_A,0.0
G_NOISE,3N2B_A,0.0
G_NOISE,3N6S_A,0.0
G044,3N7Q_A,1.0
G_NOISE,3NBN_A,0.0
G042,3NCI_A,1.0
G_NOISE,3NDH_A,0.0
G_NOISE,3NE2_C,0.0
G042,3NE6_A,1.0
G042,3NGI_A,1.0
G_NOISE,3NK7_B,0.0
G_NOISE,3NM9_A,0.0
G_NOISE,3NYT_A,0.0
G019,3NZN_A,1.0
G030,3O1T_A,0.4626329686226156
G_NOISE,3O3F_A,0.0
G_NOISE,3O3G_A,0.0
G_NOISE,3O4G_A,0.0
G_NOISE,3O9X_A,0.0
G_NOISE,3ODC_B,0.0
G_NOISE,3ODH_A,0.0
G_NOISE,3OGD_A,0.0
G049,3OGU_A,0.6828274650285322
G_NOISE,3OH9_A,0.0
G_NOISE,3OHA_A,0.0
G_NOISE,3ON0_A,0.0
G_NOISE,3OOL_A,0.0
G_NOISE,3OOR_A,0.0
G_NOISE,3OQM_A,0.0
G_NOISE,3OQO_A,0.0
G_NOISE,3ORC_A,0.0
G_NOISE,3OSN_A,0.0
G_NOISE,3OYJ_A,0.0
G_NOISE,3OYM_A,0.0
G_NOISE,3OYY_A,0.0
G_NOISE,3P1G_A,0.0
G011,3P57_A,0.3617032121060678
G023,3PIH_A,0.39382056633847945
G_NOISE,3PKY_A,0.0
G_NOISE,3PL1_A,0.0
G050,3PML_B,1.0
G_NOISE,3POV_A,0.0
G020,3PR5_B,1.0
G_NOISE,3PT6_B,0.0
G_NOISE,3PTA_A,0.0
G_NOISE,3PU7_A,0.0
G_NOISE,3PVI_A,0.0
G_NOISE,3PVV_A,0.0
G020,3PW7_A,1.0
G_NOISE,3PY8_A,0.0
G_NOISE,3Q05_A,0.0
G_NOISE,3Q06_A,0.0
G_NOISE,3Q23_A,0.0
G_NOISE,3Q24_A,0.0
G012,3Q3D_A,1.0
G_NOISE,3Q5F_A,0.0
G012,3Q5P_A,1.0
G_NOISE,3Q8K_A,0.0
G_NOISE,3Q8M_A,0.0
G_NOISE,3QAP_A,0.0
G_NOISE,3QBE_A,0.0
G_NOISE,3QE9_Y,0.0
G_NOISE,3QEB_Z,0.0
G018,3QI5_B,1.0
G_NOISE,3QJJ_A,0.0
G_NOISE,3QLI_A,0.0
G_NOISE,3QMX_A,0.0
G042,3QNO_A,1.0
G051,3QQY_A,1.0
G_NOISE,3QRF_F,0.0
G_NOISE,3QRF_M,0.0
G_NOISE,3QSV_A,0.0
G_NOISE,3QSY_A,0.0
G018,3QTG_A,1.0
G_NOISE,3QVS_A,0.0
G014,3QYM_E,1.0
G_NOISE,3QYX_A,0.0
G020,3QZ7_A,1.0
G_NOISE,3R0N_A,0.0
G_NOISE,3R3J_A,0.0
G_NOISE,3R6W_A,0.0
G_NOISE,3R8F_A,0.0
G039,3RA0_A,0.6395262915254366
G_NOISE,3RA4_A,0.0
G026,3RAE_A,0.9564937505649167
G020,3RAX_A,1.0
G_NOISE,3RFY_A,0.0
G049,3RH6_A,1.0
G037,3RHY_A,1.0
G007,3RKQ_A,1.0
G_NOISE,3RN5_A,0.0
G050,3RNU_B,0.516771843430664
G029,3ROA_A,1.0
G046,3RQP_A,0.26754012984419806
G_NOISE,3RT4_A,0.0
G_NOISE,3RX6_A,0.0
G028,3RZG_A,0.9871150362108244
G028,3RZJ_A,0.9871150362108244
G028,3RZL_D,0.9871150362108244
G028,3RZM_A,0.9871150362108244
G_NOISE,3S3N_A,0.0
G028,3S5A_A,0.9871150362108244
G_NOISE,3S6I_D,0.0
G_NOISE,3S8Q_B,0.0
G042,3S9H_A,1.0
G035,3SAR_A,1.0
G035,3SAS_A,1.0
G042,3SI6_A,1.0
G034,3SLP_A,0.9835486566335491
G034,3SM4_C,0.9835486566335491
G_NOISE,3SO6_A,0.0
G_NOISE,3SPD_A,0.0
G042,3SPY_A,1.0
G042,3SQ1_A,1.0
G042,3SQ2_A,1.0
G_NOISE,3SQR_A,0.0
G018,3STV_B,1.0
G042,3SUN_A,0.8588223030178789
G042,3SUO_A,1.0
G042,3SUQ_A,0.6904149216029847
G_NOISE,3SZQ_A,0.0
G_NOISE,3T5A_A,0.0
G_NOISE,3T5V_A,0.0
G039,3T63_M,0.6093978614028488
G037,3T6B_A,0.9790811570157417
G_NOISE,3T72_4,0.0
G_NOISE,3T79_A,0.0
G042,3TAG_A,0.2330594527407085
G038,3TAN_A,0.47111098775523935
G_NOISE,3TAY_A,0.0
G_NOISE,3TDO_C,0.0
G_NOISE,3TEE_A,0.0
G_NOISE,3TH0_A,0.0
G_NOISE,3TH1_A,0.0
G_NOISE,3TIK_A,0.0
G_NOISE,3TO8_A,0.0
G_NOISE,3TQ6_A,0.0
G_NOISE,3TQT_A,0.0
G019,3TS9_A,0.8261326387928318
G_NOISE,3TT1_A,0.0
G_NOISE,3TU4_K,0.0
G_NOISE,3TUR_B,0.0
G_NOISE,3U2B_C,0.0
G_NOISE,3U3W_A,0.0
G_NOISE,3U43_A,0.0
G_NOISE,3U44_B,0.0
G_NOISE,3U4Q_A,0.0
G_NOISE,3U58_A,0.0
G_NOISE,3U5Z_A,0.0
G_NOISE,3U60_A,0.0
G_NOISE,3U62_A,0.0
G035,3U6P_A,1.0
G_NOISE,3U6W_B,0.0
G013,3U88_C,1.0
G_NOISE,3U9G_A,0.0
G032,3UBT_A,0.9361657866689248
G_NOISE,3UGJ_A,0.0
G_NOISE,3UGT_C,0.0
G_NOISE,3UJ7_A,0.0
G_NOISE,3ULP_C,0.0
G_NOISE,3ULR_B,0.0
G029,3UO7_A,1.0
G029,3UOB_A,1.0
G_NOISE,3UR1_B,0.0
G_NOISE,3UR1_C,0.0
G_NOISE,3UTN_X,0.0
G_NOISE,3UUM_B,0.0
G_NOISE,3UV2_A,0.0
G_NOISE,3UVF_A,0.0
G_NOISE,3UW2_A,0.0
G_NOISE,3UW8_A,0.0
G_NOISE,3UX3_A,0.0
G049,3UXP_A,0.9818926760424808
G050,3V1Z_A,0.516771843430664
G_NOISE,3V53_B,0.0
G020,3V6H_A,1.0
G020,3V6K_A,1.0
G002,3V6T_A,1.0
G049,3V72_A,0.7112351638772937
G049,3V7J_A,0.7841197822802255
G049,3V7K_A,0.6617464370541257
G_NOISE,3V9X_B,0.0
G_NOISE,3VAJ_A,0.0
G_NOISE,3VBA_A,0.0
G034,3VDI_A,1.0
G_NOISE,3VDJ_A,0.0
G038,3VDM_A,0.12348498469517925
G_NOISE,3VEB_B,0.0
G_NOISE,3VF0_B,0.0
G_NOISE,3VH0_A,0.0
G_NOISE,3VK8_A,0.0
G_NOISE,3VKE_A,0.0
G037,3VKF_A,1.0
G_NOISE,3VM6_A,0.0
G_NOISE,3VMF_B,0.0
G034,3VO1_A,1.0
G_NOISE,3VOK_A,0.0
G_NOISE,3VQJ_A,0.0
G_NOISE,3VR8_A,0.0
G_NOISE,3VRC_B,0.0
G004,3VW3_H,1.0
G004,3VW3_L,1.0
G_NOISE,3VW4_A,0.0
G_NOISE,3VXV_A,0.0
G_NOISE,3VYG_A,0.0
G_NOISE,3W42_A,0.0
G_NOISE,3W6X_A,0.0
G_NOISE,3W7V_A,0.0
G_NOISE,3WAZ_B,0.0
G036,3WGI_A,1.0
G_NOISE,3WHQ_B,0.0
G_NOISE,3WI7_A,0.0
G_NOISE,3WPD_A,0.0
G_NOISE,3WPG_A,0.0
G_NOISE,3WU1_A,0.0
G017,3WU1_B,1.0
G_NOISE,3X1L_B,0.0
G_NOISE,3X1L_D,0.0
G_NOISE,3X1L_G,0.0
G_NOISE,3ZDA_A,0.0
G_NOISE,3ZH2_C,0.0
G005,3ZHM_A,0.9115765401602121
G_NOISE,3ZI5_A,0.0
G017,3ZP5_A,1.0
G_NOISE,3ZPL_E,0.0
G_NOISE,3ZQC_J,0.0
G_NOISE,3ZSC_A,0.0
G_NOISE,3ZUI_A,0.0
G_NOISE,3ZVK_F,0.0
G015,3ZVM_A,1.0
G_NOISE,3ZVS_B,0.0
G_NOISE,3ZZR_A,0.0
G_NOISE,4A04_B,0.0
G_NOISE,4A0B_D,0.0
G_NOISE,4A0X_A,0.0
G041,4A15_A,0.9660184821055147
G_NOISE,4A25_B,0.0
G_NOISE,4A2N_B,0.0
G_NOISE,4A53_A,0.0
G_NOISE,4A5V_A,0.0
G_NOISE,4A6D_A,0.0
G_NOISE,4A75_A,0.0
G_NOISE,4A7F_B,0.0
G_NOISE,4A7Z_A,0.0
G_NOISE,4A8M_Q,0.0
G_NOISE,4A8W_A,0.0
G041,4A91_A,1.0
G_NOISE,4A9A_A,0.0
G_NOISE,4A9W_A,0.0
G_NOISE,4AA6_B,0.0
G039,4AAB_A,1.0
G039,4AAE_B,1.0
G_NOISE,4ADF_G,0.0
G_NOISE,4AIE_A,0.0
G_NOISE,4AIK_B,0.0
G016,4AIL_C,1.0
G_NOISE,4ALX_A,0.0
G_NOISE,4AN6_A,0.0
G_NOISE,4AUW_E,0.0
G_NOISE,4AVX_A,0.0
G_NOISE,4AWL_B,0.0
G_NOISE,4B20_A,0.0
G025,4B3O_A,0.4310099230777845
G_NOISE,4B3O_B,0.0
G_NOISE,4B3P_A,0.0
G_NOISE,4B3Q_A,0.0
G_NOISE,4B3Q_B,0.0
G_NOISE,4B5G_A,0.0
G_NOISE,4B5H_A,0.0
G038,4B9N_A,0.25280921392335054
G_NOISE,4BAC_A,0.0
G_NOISE,4BE2_A,0.0
G_NOISE,4BGF_F,0.0
G_NOISE,4BHK_A,0.0
G_NOISE,4BHM_A,0.0
G_NOISE,4BOC_A,0.0
G037,4BOF_B,1.0
G017,4BQA_A,1.0
G_NOISE,4BWJ_A,0.0
G_NOISE,4BXO_B,0.0
G047,4BY1_B,1.0
G038,4C2U_A,0.1108701391519449
G_NOISE,4C3G_A,0.0
G_NOISE,4C8L_A,0.0
G_NOISE,4CGZ_A,0.0
G_NOISE,4CH1_A,0.0
G035,4CIS_B,1.0
G_NOISE,4CJA_A,0.0
G_NOISE,4CLC_C,0.0
G_NOISE,4CMX_A,0.0
G005,4CN3_C,0.9501925026180874
G_NOISE,4CRO_B,0.0
G021,4CRX_A,1.0
G_NOISE,4D1Q_H,0.0
G029,4D87_A,1.0
G_NOISE,4D8J_A,0.0
G_NOISE,4D8K_A,0.0
G_NOISE,4D9M_B,0.0
G_NOISE,4DA4_A,0.0
G_NOISE,4DAV_A,0.0
G027,4DBE_A,1.0
G_NOISE,4DBL_C,0.0
G_NOISE,4DCN_D,0.0
G_NOISE,4DG9_A,0.0
G_NOISE,4DIQ_A,0.0
G_NOISE,4DIX_A,0.0
G_NOISE,4DJT_B,0.0
G_NOISE,4DKJ_A,0.0
G_NOISE,4DLF_A,0.0
G020,4DM0_A,0.24268099626117073
G_NOISE,4DMU_J,0.0
G_NOISE,4DOJ_A,0.0
G_NOISE,4DPV_Z,0.0
G038,4DQQ_D,0.47111098775523935
G_NOISE,4DQY_C,0.0
G038,4DS5_A,0.47111098775523935
G_NOISE,4DT4_A,0.0
G042,4DTJ_A,1.0
G_NOISE,4DW0_A,0.0
G038,4DWI_A,1.0
G027,4DX1_A,1.0
G_NOISE,4DYL_A,0.0
G046,4E0V_B,0.26754012984419806
G046,4E1Y_A,0.2639477652951463
G_NOISE,4E4T_A,0.0
G_NOISE,4E54_B,0.0
G_NOISE,4E5Z_B,0.0
G_NOISE,4ECW_A,0.0
G_NOISE,4EEE_A,0.0
G_NOISE,4EEI_B,0.0
G_NOISE,4EFI_A,0.0
G_NOISE,4EFJ_A,0.0
G013,4EFO_A,1.0
G038,4EFZ_A,0.11100037199679551
G_NOISE,4EJY_A,0.0
G_NOISE,4EN6_B,0.0
G_NOISE,4EO1_A,0.0
G_NOISE,4EOD_A,0.0
G_NOISE,4EOT_A,0.0
G_NOISE,4ER8_A,0.0
G_NOISE,4ESV_C,0.0
G_NOISE,4EVF_A,0.0
G_NOISE,4EVV_A,0.0
G_NOISE,4EW4_A,0.0
G046,4F1H_A,0.2639477652951463
G046,4F1H_B,0.2639477652951463
G038,4F2R_D,0.47111098775523935
G_NOISE,4F30_A,0.0
G_NOISE,4F43_A,0.0
G020,4F4W_A,0.45282760421002854
G020,4F4Y_A,0.363639629045967
G020,4F4Z_A,0.8711392863507874
G020,4F50_A,0.45282760421002854
G049,4F5P_A,1.0
G_NOISE,4F8C_A,0.0
G_NOISE,4FBH_A,0.0
G020,4FBT_A,1.0
G034,4FD6_A,0.9897892417021387
G_NOISE,4FEI_A,0.0
G_NOISE,4FFX_A,0.0
G_NOISE,4FGN_A,0.0
G_NOISE,4FHR_A,0.0
G016,4FLW_A,0.5026041988724279
G016,4FM2_A,0.5026041988724279
G_NOISE,4FM9_A,0.0
G_NOISE,4FNV_A,0.0
G046,4FPV_B,0.2639477652951463
G_NOISE,4FTH_A,0.0
G_NOISE,4FXD_A,0.0
G_NOISE,4FYD_A,0.0
G027,4FZY_A,1.0
G_NOISE,4G2R_B,0.0
G020,4G3I_A,1.0
G035,4G4N_A,1.0
G035,4G4O_A,1.0
G035,4G4Q_A,1.0
G035,4G4R_A,1.0
G_NOISE,4G92_A,0.0
G_NOISE,4G92_B,0.0
